Rodada;Casa;Visitante
29;Fortaleza;Botafogo
30;Fortaleza;Cruzeiro
30;Flamengo;Bragantino
32;Fluminense;São Paulo
33;Internacional;Fluminense
33;América-MG;Coritiba
33;Athletico-PR;Fortaleza
33;São Paulo;Bragantino
33;Flamengo;Palmeiras
33;Goiás;Santos
33;Corinthians;Atlético-MG
33;Bahia;Cuiabá
33;Botafogo;Grêmio
33;Vasco;Cruzeiro
34;Coritiba;Cruzeiro
34;Flamengo;Fluminense
34;Palmeiras;Internacional
34;Bragantino;Botafogo
34;Grêmio;Corinthians
34;Santos;São Paulo
34;Vasco;América-MG
34;Atlético-MG;Goiás
34;Bahia;Athletico-PR
34;Cuiabá;Fortaleza
35;Goiás;Cruzeiro
35;América-MG;Flamengo
35;São Paulo;Cuiabá
35;Athletico-PR;Vasco
35;Internacional;Bragantino
35;Fluminense;Coritiba
35;Atlético-MG;Grêmio
35;Corinthians;Bahia
35;Fortaleza;Palmeiras
35;Botafogo;Santos
36;Grêmio;Goiás
36;Flamengo;Atlético-MG
36;Coritiba;Botafogo
36;Cruzeiro;Athletico-PR
36;Bahia;São Paulo
36;Bragantino;Fortaleza
36;Santos;Fluminense
36;Cuiabá;Internacional
36;Vasco;Corinthians
36;Palmeiras;América-MG
37;Atlético-MG;São Paulo
37;Botafogo;Cruzeiro
37;Corinthians;Internacional
37;América-MG;Bahia
37;Fortaleza;Goiás
37;Bragantino;Coritiba
37;Grêmio;Vasco
37;Flamengo;Cuiabá
37;Athletico-PR;Santos
37;Palmeiras;Fluminense
38;Internacional;Botafogo
38;Coritiba;Corinthians
38;Fluminense;Grêmio
38;Cruzeiro;Palmeiras
38;Bahia;Atlético-MG
38;Cuiabá;Athletico-PR
38;Goiás;América-MG
38;Santos;Fortaleza
38;São Paulo;Flamengo
38;Vasco;Bragantino
